ilce,mahalle,nufus_yogunlugu,nufus,yuzolcumu,maliyet
CATALCA,HISARBEYLI,40.3,369,9.1,213000
CATALCA,BAHSAYIS,38.8,367,9.5,213000
CATALCA,KARACAKOY,36.8,2490,67.6,213000
CATALCA,GUMUSPINAR,35.4,851,24.0,213000
CATALCA,ELBASAN,35.1,563,16.0,213000
CATALCA,HALLACLI,34.9,1213,34.8,213000
CATALCA,ORENCIK,33.9,790,23.3,213000
CATALCA,ORMANLI,33.1,1051,31.8,213000
CATALCA,DAGYENICE,32.3,713,22.1,213000
CATALCA,ATATURK,32.3,1127,34.9,213000
CATALCA,BASAK,32.0,386,12.1,213000
CATALCA,INCEGIZ,31.0,772,24.9,213000
CATALCA,KALFA,29.9,776,26.0,213000
CATALCA,AYDINLAR,23.5,829,35.3,213000
CATALCA,YAZLIK,19.6,356,18.1,213000
CATALCA,KARAMANDERE,19.0,553,29.1,213000
CATALCA,KIZILCAALI,18.6,220,11.8,213000
CATALCA,YALIKOY,18.1,1469,81.0,213000
CATALCA,NAKKAS,17.5,818,46.8,213000
CATALCA,BELGRAT,13.1,358,27.3,213000
CATALCA,CELEPKOY,12.2,239,19.5,213000
CATALCA,YAYLACIK,11.7,58,5.0,213000
CATALCA,FATIH,7.3,1257,171.0,213000
CEKMEKOY,CAMLIK,49963.0,20672,0.41,312000
CEKMEKOY,MEHMET AKIF,36666.0,31401,0.86,312000
CEKMEKOY,HAMIDIYE,31683.0,29311,0.93,312000
CEKMEKOY,CUMHURIYET,27033.0,12709,0.47,312000
CEKMEKOY,AYDINLAR,25633.0,16681,0.65,312000
CEKMEKOY,GUNGOREN,20444.0,8228,0.4,312000
CEKMEKOY,MIMAR SINAN,19720.0,24057,1.2,312000
CEKMEKOY,SULTANCIFTLIGI,17822.0,15472,0.87,312000
CEKMEKOY,SOGUKPINAR,12856.0,7939,0.62,312000
CEKMEKOY,KIRAZLIDERE,12778.0,8925,0.7,312000
CEKMEKOY,TASDELEN,12415.0,7411,0.6,312000
CEKMEKOY,EKSIOGLU,5696.0,7110,1.2,312000
CEKMEKOY,ALEMDAG,4560.0,6527,1.4,312000
CEKMEKOY,MERKEZ,2925.0,24594,8.4,312000
CEKMEKOY,NISANTEPE,2414.0,10236,4.2,312000
CEKMEKOY,CATALMESE,1486.0,8360,5.6,312000
CEKMEKOY,KOCULLU,122.0,1365,11.2,312000
CEKMEKOY,RESADIYE,110.0,2132,19.4,312000
CEKMEKOY,SIRAPINAR,97.2,885,9.1,312000
CEKMEKOY,OMERLI,88.3,4073,46.1,312000
CEKMEKOY,HUSEYINLI,59.1,771,13.0,312000
ESENLER,FATIH,89562.0,45797,0.51,237000
ESENLER,NENEHATUN,86504.0,43328,0.5,237000
ESENLER,KÂZIM KARABEKIR,84393.0,35790,0.42,237000
ESENLER,DAVUTPASA,79991.0,16727,0.21,237000
ESENLER,TURGUTREIS,79872.0,46953,0.59,237000
ESENLER,MIMARSINAN,75555.0,13092,0.17,237000
ESENLER,MENDERES,74680.0,32987,0.44,237000
ESENLER,NAMIK KEMAL,69474.0,16334,0.24,237000
ESENLER,FEVZI CAKMAK,68758.0,33610,0.49,237000
ESENLER,HAVAALANI,54987.0,34313,0.62,237000
ESENLER,BIRLIK,46651.0,28455,0.61,237000
ESENLER,TUNA,46195.0,33398,0.72,237000
ESENLER,KEMER,29066.0,22007,0.76,237000
ESENLER,ORUCREIS,16520.0,45372,2.7,237000
ESENLER,YAVUZ SELIM,15916.0,3839,0.24,237000
ESENLER,CIFTEHAVUZLAR,2162.0,2567,1.2,237000
ESENYURT,INCIRTEPE,66533.0,25506,0.38,246000
ESENYURT,SAADETDERE,62919.0,21850,0.35,246000
ESENYURT,MEHTERCESME,59240.0,36090,0.61,246000
ESENYURT,UCEVLER,57208.0,25490,0.45,246000
ESENYURT,SEHITLER,56068.0,15915,0.28,246000
ESENYURT,TALATPASA,55498.0,26077,0.47,246000
ESENYURT,SULEYMANIYE,53999.0,28839,0.53,246000
ESENYURT,PINAR,53445.0,36477,0.68,246000
ESENYURT,CINAR,51954.0,28093,0.54,246000
ESENYURT,NECIP FAZIL KISAKUREK,51007.0,17161,0.34,246000
ESENYURT,INONU,49768.0,24472,0.49,246000
ESENYURT,BALIKYOLU,49086.0,26828,0.55,246000
ESENYURT,MEHMET AKIF ERSOY,48002.0,22844,0.48,246000
ESENYURT,BAGLARCESME,47099.0,28514,0.61,246000
ESENYURT,FATIH,46954.0,25282,0.54,246000
ESENYURT,HURRIYET,46681.0,24769,0.53,246000
ESENYURT,YENIKENT,46595.0,20962,0.45,246000
ESENYURT,CUMHURIYET,41283.0,14369,0.35,246000
ESENYURT,ISTIKLAL,41152.0,18108,0.44,246000
ESENYURT,ORNEK,38436.0,18499,0.48,246000
ESENYURT,NAMIK KEMAL,38416.0,21366,0.56,246000
ESENYURT,YUNUS EMRE,38105.0,18739,0.49,246000
ESENYURT,TURGUT OZAL,37125.0,24050,0.65,246000
ESENYURT,SULTANIYE,32079.0,17294,0.54,246000
ESENYURT,YESILKENT,28559.0,31751,1.1,246000
ESENYURT,BATTALGAZI,27721.0,15621,0.56,246000
ESENYURT,BARBAROS HAYRETTIN PASA,19359.0,21017,1.1,246000
ESENYURT,ASIK VEYSEL,18994.0,15953,0.84,246000
ESENYURT,AKEVLER,17355.0,10294,0.59,246000
ESENYURT,GUZELYURT (HARAMIDERE),15760.0,15146,0.96,246000
ESENYURT,MEVLANA,15713.0,13636,0.87,246000
ESENYURT,PIRI REIS,14845.0,11389,0.77,246000
ESENYURT,ESENKENT,13117.0,10183,0.78,246000
ESENYURT,AKSEMSEDDIN,9054.0,6519,0.72,246000
ESENYURT,SELAHADDIN EYYUBI,8755.0,22624,2.6,246000
ESENYURT,ATATURK,8373.0,13077,1.6,246000
ESENYURT,OSMANGAZI,8086.0,29605,3.7,246000
ESENYURT,ARDICLIEVLER,7294.0,8524,1.2,246000
ESENYURT,ZAFER,7167.0,11807,1.6,246000
ESENYURT,ARDICLI,5878.0,6767,1.2,246000
ESENYURT,KOZA,3751.0,5159,1.4,246000
ESENYURT,AKCABURGAZ,3120.0,19365,6.2,246000
ESENYURT,ORHAN GAZI,2823.0,10461,3.7,246000
EYUPSULTAN,RAMI CUMA,63130.0,14651,0.23,471000
EYUPSULTAN,ESENTEPE,46574.0,19987,0.43,471000
EYUPSULTAN,DUGMECILER,38777.0,18435,0.48,471000
EYUPSULTAN,SILAHTARAGA,30615.0,9263,0.3,471000
EYUPSULTAN,YESILPINAR,30091.0,38497,1.3,471000
EYUPSULTAN,AKSEMSETTIN,29109.0,41073,1.4,471000
EYUPSULTAN,ISLAMBEY,28347.0,15321,0.54,471000
EYUPSULTAN,CIRCIR,27297.0,28537,1.0,471000
EYUPSULTAN,RAMI YENI,27259.0,13904,0.51,471000
EYUPSULTAN,NISANCI,24605.0,16191,0.66,471000
EYUPSULTAN,KARADOLAP,24510.0,26979,1.1,471000
EYUPSULTAN,SAKARYA,22492.0,9966,0.44,471000
EYUPSULTAN,EMNIYETTEPE,12719.0,9397,0.74,471000
EYUPSULTAN,MERKEZ,12405.0,10914,0.88,471000
EYUPSULTAN,ALIBEYKOY,10412.0,9569,0.92,471000
EYUPSULTAN,DEFTERDAR,5012.0,4709,0.94,471000
EYUPSULTAN,GUZELTEPE,3634.0,34564,9.5,471000
EYUPSULTAN,TOPCULAR,2820.0,4673,1.7,471000
EYUPSULTAN,GOKTURK MERKEZ,1261.0,36843,29.2,471000
EYUPSULTAN,MIMARSINAN,295.0,4882,16.5,471000
EYUPSULTAN,PIRINCCI,133.0,3561,26.8,471000
EYUPSULTAN,MITHATPASA,110.0,5179,47.1,471000
EYUPSULTAN,AKPINAR,82.9,2275,27.5,471000
EYUPSULTAN,ISIKLAR,52.8,569,10.8,471000
EYUPSULTAN,AGACLI,42.8,671,15.7,471000
EYUPSULTAN,IHSANIYE,32.3,160,5.0,471000
EYUPSULTAN,ODAYERI,23.6,195,8.3,471000
EYUPSULTAN,CIFTALAN,8.1,149,18.4,471000
FATIH,ATIKALI,66843.0,15133,0.23,348000
FATIH,SEYYID OMER,57079.0,26773,0.47,348000
FATIH,HIRKAISERIF,56720.0,24649,0.43,348000
FATIH,AKSEMSETTIN,56537.0,24856,0.44,348000
FATIH,SILIVRIKAPI,54105.0,16823,0.31,348000
